Extension: .pdf, Number of files: 340
Extension: .oiv, Number of files: 1
Extension: .jpg, Number of files: 65
Extension: .svg, Number of files: 6
Extension: .exe, Number of files: 72
Extension: .zip, Number of files: 30
Extension: .mp4, Number of files: 30
Extension: .pptx, Number of files: 13
Extension: .png, Number of files: 61
Extension: .docx, Number of files: 33
Extension: .webm, Number of files: 1
Extension: .mermaid, Number of files: 1
Extension: .msi, Number of files: 11
Extension: .jar, Number of files: 30
Extension: .ani, Number of files: 1
Extension: .cur, Number of files: 1
Extension: .csv, Number of files: 1
Extension: .mp3, Number of files: 10
Extension: .avif, Number of files: 1
Extension: .webp, Number of files: 25
Extension: .torrent, Number of files: 5
Extension: .ini, Number of files: 10
Extension: .doc, Number of files: 2
Extension: .wav, Number of files: 5
Extension: .rar, Number of files: 2
Extension: , Number of files: 34
Extension: .opus, Number of files: 1
Extension: .txt, Number of files: 10
Extension: .xlsx, Number of files: 2
Extension: .rmskin, Number of files: 4
Extension: .html, Number of files: 1541
Extension: .gif, Number of files: 6
Extension: .heic, Number of files: 1
Extension: .iso, Number of files: 3
Extension: .scr, Number of files: 1
Extension: .rtf, Number of files: 1
Extension: .ppt, Number of files: 1
Extension: .drfx, Number of files: 1
Extension: .gz, Number of files: 1
Extension: .fig, Number of files: 1
Extension: .md, Number of files: 5
Extension: .apk, Number of files: 1
Extension: .ttf, Number of files: 12
Extension: .ytd, Number of files: 3
Extension: .img, Number of files: 1
Extension: .srt, Number of files: 1
Extension: .png~, Number of files: 1
Extension: .xml, Number of files: 5
Extension: .bat, Number of files: 3
Extension: .cmd, Number of files: 4
Extension: .pl, Number of files: 3
Extension: .py, Number of files: 1
Extension: .xsl, Number of files: 15
Extension: .pom, Number of files: 27
Extension: .properties, Number of files: 1
Extension: .ico, Number of files: 1
Extension: .js, Number of files: 12
Extension: .css, Number of files: 17
Extension: .graphml, Number of files: 2
Extension: .bmp, Number of files: 1
Extension: .dll, Number of files: 2
Extension: .inc, Number of files: 2
Extension: .download, Number of files: 87
Extension: .nvram, Number of files: 1
Extension: .scoreboard, Number of files: 1
Extension: .vmdk, Number of files: 1
Extension: .vmsd, Number of files: 1
Extension: .vmx, Number of files: 1
Extension: .vmxf, Number of files: 1
Extension: .log, Number of files: 1
Extension: .iss, Number of files: 3
Extension: .sql, Number of files: 1
Extension: .sqlite, Number of files: 1
